idSintoma,clave,descripcion,createdAt,updatedAt
1,Comezon,"Sensación de picazón o irritación en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
2,Sarpullido,"Erupción cutánea con pequeñas manchas rojas o irritadas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
3,Sarpullido_en_ganglios_linfaticos,"Erupción cutánea que aparece en los ganglios linfáticos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
4,Estornudos_Frecuentes,"Estornudos repetitivos y constantes","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
5,Temblores,"Movimientos involuntarios y temblorosos del cuerpo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
6,Escalofrios,"Sensación de frío intenso acompañada de temblores","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
7,Dolor_en_articulaciones,"Dolor e inflamación en las articulaciones","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
9,Dolor_de_estomago,"Dolor o molestia en la región del estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
10,Acidez,"Sensación de ardor o malestar en el estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
11,Ulceras_en_la_lengua,"Presencia de úlceras o llagas en la lengua","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
12,Atrofia_muscular,"Pérdida de masa y fuerza muscular","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
13,Vomito,"Expulsión involuntaria del contenido del estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
14,Ardor_al_orinar,"Sensación de ardor o irritación al orinar","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
15,Sangre_en_orina,"Presencia de sangre en la orina","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
16,Fatiga,"Cansancio y agotamiento físico o mental","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
17,Aumento_de_peso,"Incremento en el peso corporal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
18,Ansiedad,"Estado de preocupación, tensión o nerviosismo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
19,Extremidades_frias,"Sensación de frío en las extremidades (manos y pies)","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
20,Cambios_de_humor,"Variaciones repentinas e intensas en el estado de ánimo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
21,Perdida_de_peso,"Disminución no intencional del peso corporal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
22,Inquietud,"Sensación de intranquilidad o agitación","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
23,Letargia,"Sensación de cansancio extremo y falta de energía","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
24,Manchas_en_garganta,"Presencia de manchas o lesiones en la garganta","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
25,Nivel_anormal_de_azucar,"Niveles de azúcar en la sangre fuera de los rangos normales","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
26,Tos,"Expulsión involuntaria y repetitiva de aire a través de la garganta","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
27,iebre_alta,"Temperatura corporal elevada por encima de lo normal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
28,Ojos_hundidos,"Apariencia hundida o hundimiento de los ojos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
29,Falta_de_aire,"Dificultad para respirar o sensación de ahogo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
30,Sudoracion,"Producción excesiva de sudor","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
31,Deshidratacion,"Pérdida de líquidos y electrolitos en el cuerpo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
32,Indigestion,"Malestar o dificultad para digerir los alimentos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
33,Dolor_de_cabeza,"Dolor o molestia en la cabeza","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
34,Piel_amarilla,"Coloración amarillenta de la piel y los ojos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
35,Orina_oscura,"Orina de color más oscuro de lo normal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
36,Nauseas,"Sensación de malestar estomacal que puede provocar vómito","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
37,Perdida_de_apetito,"Disminución o falta de deseo de comer","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
38,Dolor_detras_de_ojos,"Dolor o molestia en la parte posterior de los ojos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
39,Dolor_de_espalda,"Dolor o molestia en la espalda","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
40,Constipacion,"Dificultad para evacuar o heces duras y secas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
41,Dolor_abdominal,"Dolor o molestia en la región del abdomen","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
42,Diarrea,"Evacuaciones frecuentes de heces líquidas o sueltas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
43,Fiebre_leve,"Temperatura corporal ligeramente elevada","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
44,Orina_amarilla,"Orina de color amarillo más intenso de lo normal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
45,Ojos_amarillentos,"Coloración amarillenta en los ojos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
46,Fallo_hepatico_agudo,"Deterioro repentino y grave de la función del hígado","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
47,Hipervolemia,"Exceso de líquidos en el cuerpo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
48,Hinchazon_del_estomago,"Inflamación o hinchazón en el área del estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
49,Hinchazon_de_ganglios_linfaticos,"Inflamación o hinchazón de los ganglios linfáticos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
50,Malestar,"Sensación general de incomodidad o malestar","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
51,Vision_borrosa,"Dificultad para enfocar la vista o visión nublada","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
52,Flemas,"Acumulación de mucosidad espesa en las vías respiratorias","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
53,Irritacion_de_la_garganta,"Sensación de irritación o molestia en la garganta","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
54,Ojos_rojos,"Enrojecimiento e inflamación de los ojos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
55,Presion_en_senos_paranasales,"Sensación de presión o congestión en los senos paranasales","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
56,Goteo_nasal,"Secreción nasal constante o excesiva","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
57,Congestion_nasal,"Obstrucción o bloqueo de las vías nasales","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
58,Dolor_de_pecho,"Dolor o molestia en la región del pecho","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
59,Debilidad_de_extremidades,"Falta de fuerza o debilidad en las extremidades","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
60,Ritmo_cardiaco_rapido,"Aceleración del ritmo cardíaco","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
61,Dolor_al_evacuar,"Dolor o molestia al momento de evacuar","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
62,Dolor_anal,"Dolor o molestia en la región anal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
63,Heces_con_sangre,"Presencia de sangre en las heces","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
64,Irritacion_anal,"Irritación o inflamación en la zona anal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
65,Dolor_de_cuello,"Dolor o molestia en la región del cuello","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
66,Mareos,"Sensación de inestabilidad o desequilibrio","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
67,Colicos,"Contracciones dolorosas en el abdomen","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
68,Moretones_frecuentes,"Aparición recurrente de moretones en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
69,Obesidad,"Exceso de peso corporal significativo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
70,Piernas_hinchadas,"Inflamación o hinchazón en las piernas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
71,Vasos_sanguineos_inflamados,"Inflamación de los vasos sanguíneos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
72,Ojos_y_cara_hinchada,"Hinchazón en los ojos y la cara","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
73,Tiroides_agrandecida,"Agrandamiento o inflamación de la glándula tiroides","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
74,Uñas_quebradizas,"Uñas frágiles y propensas a romperse","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
75,Extremidades_hinchadas,"Inflamación o hinchazón en las extremidades","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
76,Hambre_excesiva,"Sensación de apetito exagerado o constante","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
77,Contactos_extramaritales,"Relaciones sexuales fuera del matrimonio","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
78,Labios_secos,"Sequedad y agrietamiento de los labios","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
79,Habla_arrastrada,"Dificultad para articular claramente las palabras","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
80,Dolor_de_rodillas,"Dolor o molestia en las articulaciones de las rodillas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
81,Dolor_de_cadera,"Dolor o molestia en las articulaciones de las caderas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
82,Debilidad_muscular,"Falta de fuerza o debilidad en los músculos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
83,Cuello_rigido,"Rigidez o dificultad para mover el cuello","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
84,Articulaciones_hinchadas,"Inflamación o hinchazón en las articulaciones","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
85,Rigidez_de_movimientos,"Dificultad para realizar movimientos con fluidez","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
86,Movimientos_giratorios,"Movimientos involuntarios y giratorios del cuerpo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
87,Perdida_de_equilibrio,"Dificultad para mantener el equilibrio y la estabilidad","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
88,Inestabilidad,"Sensación de falta de control o desequilibrio","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
89,Debilidad_de_un_lado_del_cuerpo,"Pérdida de fuerza o debilidad en un lado del cuerpo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
90,Perdida_de_olfato,"Disminución o pérdida de la capacidad de oler","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
91,Incomodidad_de_vejiga,"Sensación de malestar o molestia en la vejiga","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
92,Orina_con_olor_desagradable,"Orina con un olor fuerte y desagradable","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
93,Miccion_frecuente,"Necesidad de orinar con mayor frecuencia de lo normal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
94,Gases,"Acumulación excesiva de gases intestinales","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
95,Comezon_interna,"Sensación de picazón o irritación interna","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
96,Apariencia_decaida_tifos,"Aspecto decaído y enfermo, similar al tifus","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
97,Depresion,"Estado de ánimo triste, melancólico y desanimado","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
98,Irritabilidad,"Facilidad para enojarse o reaccionar de manera exagerada","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
99,Dolor_muscular,"Dolor o molestia en los músculos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
100,Sentidos_alterados,"Percepción distorsionada o anormal de los sentidos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
101,Manchas_rojas_en_el_cuerpo,"Aparición de manchas rojas en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
102,Dolor_estomacal,"Dolor o molestia en la región del estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
103,Problemas_de_menstruacion,"Irregularidades o problemas en el ciclo menstrual","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
104,Manchas_descoloridas,"Aparición de manchas de color diferente en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
105,Ojos_llorosos,"Ojos que producen lágrimas de manera excesiva","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
106,Apetito_elevado,"Aumento significativo del apetito y deseo de comer","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
107,Miccion_excesiva,"Necesidad de orinar con mucha frecuencia","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
108,Historial_Familiar,"Antecedentes médicos familiares relevantes","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
109,Esputo_mucoide,"Expectoración de mucosidad espesa y pegajosa","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
110,Esputo_con_color_oxidado,"Expectoración de color marrón o rojizo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
111,Problemas_de_concentracion,"Dificultad para mantener la atención y concentrarse","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
112,Problemas_de_vision,"Dificultades o alteraciones en la capacidad visual","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
113,Recibe_transfusiones_de_sangre,"Recibe transfusiones de sangre de manera regular","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
114,Recibe_inyecciones_no_esteriles,"Recibe inyecciones que no cumplen con las normas de esterilidad","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
115,Coma,"Estado de inconsciencia profunda y falta de respuesta","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
116,Sangrado_estomacal,"Presencia de sangrado en el estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
117,Distension_abdominal,"Hinchazón o distensión en el abdomen","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
118,Alcoholismo,"Consumo excesivo y problemático de alcohol","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
119,Hipervolemia_2,"Exceso de líquidos en el cuerpo (segunda mención)","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
190,Sangre_en_esputo,"Presencia de sangre en la expectoración","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
121,Varices,"Dilatación anormal de las venas, principalmente en las piernas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
122,Palpitaciones,"Sensación de latidos cardíacos fuertes o irregulares","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
123,Dolor_al_caminar,"Dolor o molestia al momento de caminar","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
124,Granos_con_pus,"Aparición de granos o lesiones en la piel con pus","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
125,Puntos_negros,"Presencia de puntos negros o comedones en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
126,Scurring,"Descamación o escamación excesiva de la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
127,Descamacion_de_la_piel,"Pérdida o desprendimiento de la capa superficial de la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
128,Piel_grisacea,"Coloración grisácea o apagada de la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
129,Uñas_abolladas,"Uñas con pequeñas depresiones o hoyuelos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
120,Uñas_inflamadas,"Inflamación o irritación de las uñas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
131,Ampollas,"Formación de burbujas o vesículas llenas de líquido en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
132,Llaga_roja_cerca_de_la_nariz,"Presencia de una llaga o lesión roja cerca de la nariz","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
133,Pus_amarillenta,"Secreción de pus de color amarillento","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"